document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
LULU_FQ3_2025,LULU,2025-12-11,2025-12-11,187.01,0.093952,0.096038,0.105502,0.150259,0.117427,0.095403,0.10679,0.120448,0.168687,0.115773,20260820_020202,1,NO
LULU_FQ4_2025,LULU,2026-03-17,2026-03-17,159.27,-0.007723,0.038425,0.022289,0.010548,-0.038739,-0.0041,0.052379,0.055414,0.036801,-0.008253,20260820_020202,1,NO
AMKBY_FQ1_2025,AMKBY,2025-05-07,2025-05-07,8.58,0.016317,0.011655,0.092075,0.110723,0.101399,0.009029,0.004687,0.053155,0.063605,0.06271,20260820_020202,1,YES
AMKBY_FQ2_2025,AMKBY,2025-08-07,2025-08-07,10.71,0.008403,0.014939,0.067227,0.033613,-0.000934,0.005541,0.007142,0.050714,0.013526,-0.006153,20260820_020202,1,YES
AMKBY_FQ3_2025,AMKBY,2025-11-05,2025-11-05,10.38,-0.055877,-0.046243,-0.049133,-0.063584,-0.071291,-0.054238,-0.035513,-0.05483,-0.072144,-0.049227,20260820_020202,1,YES
AMKBY_FQ4_2025,AMKBY,2026-02-05,2026-02-05,12.09,-0.013234,0.0,-0.004136,-0.042184,0.041356,-0.018901,-0.019185,-0.025534,-0.04757,0.023928,20260820_020202,1,YES
MCD_FQ1_2026,MCD,2026-05-07,2026-05-06,284.1,0.013129,-0.001408,-0.033439,-0.029567,-0.013481,0.00855,-0.009664,-0.04246,-0.052244,-0.028708,20260820_020202,1,NO
MCD_FQ4_2024,MCD,2025-02-10,2025-02-07,294.3,0.027081,0.047978,0.045192,0.04842,0.04509,0.030884,0.047218,0.037124,0.037442,0.062632,20260820_020202,1,NO
MCD_FQ4_2025,MCD,2026-02-11,2026-02-10,325.97,-0.007332,-0.008467,0.004939,0.00589,0.021597,-0.010627,0.006982,0.018105,0.0167,0.025441,20260820_020202,1,NO
META_FQ1_2026,META,2026-04-29,2026-04-29,669.12,-0.074426,-0.0855,-0.087742,-0.084051,-0.078446,-0.078712,-0.09545,-0.096778,-0.115319,-0.121632,20260820_020202,1,NO
META_FQ3_2025,META,2025-10-29,2025-10-29,751.67,-0.109782,-0.113348,-0.151609,-0.153951,-0.189791,-0.104705,-0.10235,-0.145717,-0.139679,-0.183957,20260820_020202,1,NO
META_FQ4_2025,META,2026-01-28,2026-01-28,668.73,0.102732,0.104048,0.056346,0.000389,-6e-05,0.101337,0.106032,0.05636,0.013661,0.004916,20260820_020202,1,NO
NKE_FQ1_2025,NKE,2024-10-01,2024-10-01,89.13,-0.07001,-0.067654,-0.077191,-0.093796,-0.078649,-0.06841,-0.068076,-0.084858,-0.101797,-0.098276,20260820_020202,1,NO
NKE_FQ2_2025,NKE,2024-12-19,2024-12-19,77.1,-0.014786,-0.002075,-0.004021,-0.00882,-0.066148,-0.007398,-0.010692,-0.029955,-0.024022,-0.081947,20260820_020202,1,NO
NKE_FQ3_2025,NKE,2025-03-20,2025-03-20,71.86,-0.073337,-0.05455,-0.074033,-0.084331,-0.226552,-0.062356,-0.05188,-0.091664,-0.087142,-0.17564,20260820_020202,1,NO
NVDA_FQ1_2025,NVDA,2025-02-26,2025-02-26,131.28,0.028336,-0.084781,-0.13117,-0.10649,-0.118373,0.024451,-0.068819,-0.113055,-0.087181,-0.058377,20260820_020202,1,NO
NVDA_FQ2_2025,NVDA,2025-05-28,2025-05-28,134.81,0.055189,0.03249,0.019064,0.052741,0.059491,0.04612,0.028543,0.010591,0.038789,0.0363,20260820_020202,1,NO
NVDA_FQ3_2025,NVDA,2025-08-27,2025-08-27,181.6,-0.004295,-0.007874,-0.059582,-0.054736,-0.024394,-0.005238,-0.011416,-0.049746,-0.058586,-0.041406,20260820_020202,1,NO
NVDA_FQ4_2025,NVDA,2025-11-19,2025-11-19,186.52,0.050558,-0.031525,-0.021285,-0.033562,-0.016835,0.035044,-0.016283,-0.03049,-0.059293,-0.049674,20260820_020202,1,NO
TSLA_FQ1_2026,TSLA,2026-04-22,2026-04-22,387.51,-0.031561,-0.035586,-0.022812,-0.03796,0.028954,-0.029156,-0.031705,-0.02838,-0.038481,-0.002851,20260820_020202,1,NO
TSLA_FQ3_2025,TSLA,2025-10-22,2025-10-22,438.97,-0.043215,0.022803,0.03064,0.051347,0.052623,-0.043694,0.016873,0.004524,0.022012,0.037978,20260820_020202,1,NO
TSLA_FQ4_2025,TSLA,2026-01-28,2026-01-28,431.46,0.014694,-0.034534,-0.022366,-0.058986,-0.007394,0.013299,-0.032549,-0.022352,-0.045713,-0.002418,20260820_020202,1,NO
UBER_FQ1_2025,UBER,2025-05-07,2025-05-06,85.83,-0.031458,-0.025399,-0.035186,0.068624,0.070372,-0.038746,-0.032367,-0.074106,0.021506,0.031683,20260820_020202,1,NO
