scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
EVENT,PEP 2023-07-13,1,170,1264.46,-1.09,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MAR 2025-08-05,1,170,1264.73,-0.82,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LOW 2025-11-19,1,170,1265.0,-0.55,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,SIE.DE 2026-02-12,1,170,1265.0,-0.55,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,GIS 2026-03-18,1,170,1265.0,-0.55,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2025-02-04,1,170,1265.96,0.41,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,HLT 2026-02-11,1,170,1265.28,-0.27,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PEP 2026-04-16,1,170,1265.82,0.27,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DAL 2026-01-13,1,170,1265.69,0.14,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LOW 2026-05-21,1,170,1265.69,0.14,n/a (fast-path),n/a (fast-path),n/a (fast-path)
